name mass(kg) xpos(km) ypos(km) zpos(km) xvel(km/s^2) yvel(km/s^2) zvel(km/s^2)
sol 1.98841e+30 580154.551461271 329622.1862854981 -17559.03853931009 -0.004660062705101713 0.01090339845300585 -3.744250692260323e-06
mercury 3.3020000000000006e+23 -41166009.79205756 -53516826.24043204 -585607.5986917391 28.6283415047575 -27.55942891890303 -4.880110749662084
venus 4.868500000000001e+24 -4186768.067853288 107848157.5946597 1728572.796773881 -35.11074968670728 -1.727427667265746 2.002477907363899
luna 7.349e+22 -25694722.42894872 144712646.6866087 -49802.70806261152 -28.8068489272672 -5.026113829352515 0.02348327700079067
earth 5.97219e+24 -25831769.3484441 145046806.2705728 -19091.79646534473 -29.80629271287394 -5.453023319793298 -0.0002153137188989351
mars 6.4171e+23 61663524.01981542 221087287.6590361 3107396.631294131 -22.43911387627508 8.533228023213258 0.7296941371840817
jupiter 1.89819e+27 -670044416.9049555 -460406863.7647979 16901824.98626789 7.235732006566169 -10.15284938704943 -0.1199056500237936
saturn 5.6834e+26 -815279417.350622 1091352084.327112 13455224.90245354 -8.25528008527807 -5.804465718627576 0.4297734999423584
uranus 8.6813e+25 2822425663.721131 -1026488495.364313 -40381775.88105232 2.277815113141856 6.082588187027468 -0.006759988188723032
neptune 1.02409e+26 3288674345.367211 -3066902942.820483 -12633766.81408858 3.671015872152216 4.006050362344558 -0.1676479444235774
